grid_id,researchers,date,time_start,time_finish,time_of_transect,duration,time_recorded_wildlife,grid_line,grid_line_detected,grid_line_direction,x_transect,y_transect,x_mid,y_mid,x_species,y_species,habitat_type,species_detected,scientific_name,wildlife_size,bearing_to_wildlife,distance_to_wildlife,bearing_to_line,distance_perpendicular,province,notes
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,7:27,B,B - C,east,NA,NA,569552,1423401,569256,1423888,Evergreen,Long-tailed macaque,Macaca fascicularis,4,164,47,90,12.95495572339900000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,7:45,B,B - C,east,NA,NA,569552,1423401,569421,1423899,Evergreen,Great Hornbill,Buceros bicornis,2,207,13,90,5.90187649661411000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,8:40,C,C - D,south,NA,NA,569552,1423401,570084,1423777,Evergreen,Pileated gibbon,Hylobates pileatus,2,131,20,180,15.09419160445540000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,9:02,C,C - D,south,NA,NA,569552,1423401,570101,1423542,Evergreen,Great Hornbill,Buceros bicornis,1,7,11,180,1.34056277745662000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,9:30,C,C - D,south,NA,NA,569552,1423401,570061,1423346,Evergreen,Great Hornbill,Buceros bicornis,1,170,35,180,6.07768621834256000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,6:01,11:42,AM,5:41,9:45,C,C - D,south,NA,NA,569552,1423401,570056,1423054,Evergreen,Wild pig,Sus scrofa,3,157,19,180,7.42389144129620000000,Kampong Thom,
02,"Hul Bora, Him Yul and Chhay Lay",2023-02-09,13:00,16:11,PM,3:11,13:55,C,D - C,south,NA,NA,569552,1423401,570066,1423362,Semi-evergreen,Great Hornbill,Buceros bicornis,1,290,40,360,37.58770483143630000000,Kampong Thom,
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,6:00,11:35,AM,5:35,6:30,A ,A​​ - B,north,NA,NA,576552,1432401,576069,1432487,DDF,Green Peafowl,Pavo muticus,1,60,44,360,38.10511776651530000000,Kratie,
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,6:00,11:35,AM,5:35,NA,A ,NA,north,576052,1431901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,6:00,11:35,AM,5:35,NA,B ,NA,east,576052,1432901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,6:00,11:35,AM,5:35,NA,C ,NA,south,577052,1432901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,6:00,11:35,AM,5:35,NA,D ,NA,west,577052,1431901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,13:00,16:23,PM,3:23,NA,A ,NA,north,576052,1431901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,13:00,16:23,PM,3:23,NA,D,NA,west,577052,1431901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,13:00,16:23,PM,3:23,NA,C,NA,south,577052,1432901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
03,"Chhay Lay, Khorn Doeurn and Hul Bora",2023-01-28,13:00,16:23,PM,3:23,NA,B,NA,east,576052,1432901,576552,1432401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,6:00,11:34,AM,5:34,NA,A ,NA,north,582052,1432901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,6:00,11:34,AM,5:34,NA,B ,NA,east,582052,1433901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,6:00,11:34,AM,5:34,NA,C ,NA,south,583052,1433901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,6:00,11:34,AM,5:34,NA,D ,NA,west,583052,1432901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,13:00,16:17,PM,3:17,NA,A ,NA,north,582052,1432901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,13:00,16:17,PM,3:17,NA,D,NA,west,583052,1432901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,13:00,16:17,PM,3:17,NA,C,NA,south,583052,1433901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
04,"Dong Phirun, Khorn Doeurn, Him Yul",2023-01-20,13:00,16:17,PM,3:17,NA,B,NA,east,582052,1433901,582552,1433401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,6:00,11:38,AM,5:38,NA,A ,NA,north,579052,1434901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,6:00,11:38,AM,5:38,NA,B,NA,east,579052,1435901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,6:00,11:38,AM,5:38,NA,C,NA,south,580052,1435901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,6:00,11:38,AM,5:38,NA,D,NA,west,580052,1434901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,NA,A ,NA,north,579052,1434901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,NA,D ,NA,west,580052,1434901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,NA,C,NA,south,580052,1435901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,NA,B ,NA,east,579052,1435901,579552,1435401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,13:58,C,D - C,south,NA,NA,579552,1435401,580095,1435265,Semi-evergreen,Great Hornbill,Buceros bicornis,2,240,4,360,3.46410161513775000000,Kratie,
05,"Him Yul, Hul Bora, Khorn Doeurn",2023-01-18,13:00,16:36,PM,3:36,14:18,C,D - C,south,NA,NA,579552,1435401,580060,1435565,Evergreen,Green Peafowl,Pavo muticus,1,60,22,360,19.05255888325760000000,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,6:35,A ,A​​ - B,north,NA,NA,569552,1441401,569031,1441461,DDF,Great Hornbill,Buceros bicornis,2,90,35,360,35.00000000000000000000,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,6:47,A ,A​​ - B,north,NA,NA,569552,1441401,569019,1441563,DDF,Great Hornbill,Buceros bicornis,14,80,26,360,25.60500157831740000000,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,6:53,A ,A​​ - B,north,NA,NA,569552,1441401,569034,1441616,DDF,Great Hornbill,Buceros bicornis,12,360,42,360,0.00000000000001028703,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,7:03,A ,A​​ - B,north,NA,NA,569552,1441401,569043,1441795,Semi-evergreen,Great Hornbill,Buceros bicornis,2,320,112,360,71.99221228489240000000,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,NA,A ,NA,north,569052,1440901,569552,1441401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,NA,B,NA,east,569052,1441901,569552,1441401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,NA,C,NA,south,570052,1441901,569552,1441401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,NA,D,NA,west,570052,1440901,569552,1441401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,13:00,16:21,PM,3:21,NA,A ,NA,north,569052,1440901,569552,1441401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,13:00,16:21,PM,3:21,NA,D,NA,west,570052,1440901,569552,1441401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
